,age_class,Trip_pur,Trip_mode,nominator,denominator,Trip_modeP
0,Adult,D_shop,Bicy,126,15158,0.008312442274706426
1,Adult,D_shop,Car,13528,15158,0.8924660245414963
2,Adult,D_shop,PTrans,210,15158,0.013854070457844044
3,Adult,D_shop,Walk,1294,15158,0.08536746272595329
4,Adult,Home,Bicy,727,46155,0.015751272884844545
5,Adult,Home,Car,38847,46155,0.84166395840104
6,Adult,Home,PTrans,1244,46155,0.02695265951684541
7,Adult,Home,Walk,5337,46155,0.11563210919727007
8,Adult,Meals,Bicy,103,12732,0.008089852340559221
9,Adult,Meals,Car,10639,12732,0.8356110587496073
10,Adult,Meals,PTrans,158,12732,0.012409676405906378
11,Adult,Meals,Walk,1832,12732,0.14388941250392712
12,Adult,Others,Bicy,18,962,0.018711018711018712
13,Adult,Others,Car,858,962,0.8918918918918919
14,Adult,Others,PTrans,20,962,0.02079002079002079
15,Adult,Others,Walk,66,962,0.06860706860706861
16,Adult,Rec_lei,Bicy,272,10530,0.025830959164292497
17,Adult,Rec_lei,Car,7674,10530,0.7287749287749288
18,Adult,Rec_lei,PTrans,214,10530,0.020322886989553656
19,Adult,Rec_lei,Walk,2370,10530,0.22507122507122507
20,Adult,S_d_r,Bicy,125,12677,0.009860377060818805
21,Adult,S_d_r,Car,11351,12677,0.8954011201388341
22,Adult,S_d_r,PTrans,288,12677,0.02271830874812653
23,Adult,S_d_r,Walk,913,12677,0.07202019405222056
24,Adult,Serv_trip,Bicy,66,6674,0.009889121965837579
25,Adult,Serv_trip,Car,5921,6674,0.8871741084806712
26,Adult,Serv_trip,PTrans,170,6674,0.025471980821096793
27,Adult,Serv_trip,Walk,517,6674,0.07746478873239436
28,Adult,V_fr_rel,Bicy,48,5992,0.00801068090787717
29,Adult,V_fr_rel,Car,5284,5992,0.8818424566088118
30,Adult,V_fr_rel,PTrans,112,5992,0.018691588785046728
31,Adult,V_fr_rel,Walk,548,5992,0.09145527369826435
32,Adult,Work,Bicy,357,26267,0.013591198081242624
33,Adult,Work,Car,23029,26267,0.8767274526973008
34,Adult,Work,PTrans,1010,26267,0.03845128868922983
35,Adult,Work,Walk,1871,26267,0.07123006053222675
36,Child,D_shop,Bicy,10,2063,0.004847309743092583
37,Child,D_shop,Car,1930,2063,0.9355307804168687
38,Child,D_shop,PTrans,13,2063,0.006301502666020358
39,Child,D_shop,Walk,110,2063,0.05332040717401842
40,Child,Home,Bicy,244,10542,0.023145513185353822
41,Child,Home,Car,9052,10542,0.8586605957123885
42,Child,Home,PTrans,53,10542,0.005027509011572757
43,Child,Home,Walk,1193,10542,0.11316638209068489
44,Child,Meals,Bicy,13,1789,0.0072666294019005035
45,Child,Meals,Car,1666,1789,0.9312465064281722
46,Child,Meals,PTrans,7,1789,0.003912800447177194
47,Child,Meals,Walk,103,1789,0.05757406372275014
48,Child,Others,Bicy,2,338,0.005917159763313609
49,Child,Others,Car,321,338,0.9497041420118343
50,Child,Others,PTrans,2,338,0.005917159763313609
51,Child,Others,Walk,13,338,0.038461538461538464
52,Child,Rec_lei,Bicy,97,2710,0.03579335793357934
53,Child,Rec_lei,Car,2232,2710,0.8236162361623616
54,Child,Rec_lei,PTrans,25,2710,0.00922509225092251
55,Child,Rec_lei,Walk,356,2710,0.13136531365313653
56,Child,S_d_r,Bicy,71,7505,0.009460359760159893
57,Child,S_d_r,Car,6749,7505,0.8992671552298468
58,Child,S_d_r,PTrans,69,7505,0.009193870752831446
59,Child,S_d_r,Walk,616,7505,0.0820786142571619
60,Child,Serv_trip,Bicy,11,913,0.012048192771084338
61,Child,Serv_trip,Car,851,913,0.932092004381161
62,Child,Serv_trip,PTrans,4,913,0.004381161007667032
63,Child,Serv_trip,Walk,47,913,0.05147864184008762
64,Child,V_fr_rel,Bicy,44,1470,0.029931972789115645
65,Child,V_fr_rel,Car,1233,1470,0.8387755102040816
66,Child,V_fr_rel,PTrans,4,1470,0.0027210884353741495
67,Child,V_fr_rel,Walk,189,1470,0.12857142857142856
68,Child,Work,Car,30,30,1.0
69,MidAdult,D_shop,Bicy,161,26454,0.006086036138202162
70,MidAdult,D_shop,Car,24364,26454,0.9209949346034626
71,MidAdult,D_shop,PTrans,326,26454,0.012323278143191957
72,MidAdult,D_shop,Walk,1603,26454,0.060595751115143266
73,MidAdult,Home,Bicy,853,66684,0.012791674164717173
74,MidAdult,Home,Car,57429,66684,0.8612110851178694
75,MidAdult,Home,PTrans,1227,66684,0.018400215943854596
76,MidAdult,Home,Walk,7175,66684,0.10759702477355887
77,MidAdult,Meals,Bicy,91,18189,0.0050030238055967895
78,MidAdult,Meals,Car,16076,18189,0.8838308867997141
79,MidAdult,Meals,PTrans,150,18189,0.008246742536698005
80,MidAdult,Meals,Walk,1872,18189,0.10291934685799109
81,MidAdult,Others,Bicy,19,1976,0.009615384615384616
82,MidAdult,Others,Car,1818,1976,0.9200404858299596
83,MidAdult,Others,PTrans,32,1976,0.016194331983805668
84,MidAdult,Others,Walk,107,1976,0.0541497975708502
85,MidAdult,Rec_lei,Bicy,340,14462,0.023509887982298437
86,MidAdult,Rec_lei,Car,10605,14462,0.7333010648596321
87,MidAdult,Rec_lei,PTrans,194,14462,0.01341446549578205
88,MidAdult,Rec_lei,Walk,3323,14462,0.22977458166228737
89,MidAdult,S_d_r,Bicy,63,15639,0.004028390562056398
90,MidAdult,S_d_r,Car,14758,15639,0.9436664748385447
91,MidAdult,S_d_r,PTrans,167,15639,0.010678432124816164
92,MidAdult,S_d_r,Walk,651,15639,0.04162670247458277
93,MidAdult,Serv_trip,Bicy,96,13612,0.007052600646488392
94,MidAdult,Serv_trip,Car,12425,13612,0.9127975315897737
95,MidAdult,Serv_trip,PTrans,319,13612,0.023435204231560387
96,MidAdult,Serv_trip,Walk,772,13612,0.05671466353217749
97,MidAdult,V_fr_rel,Bicy,61,8109,0.007522505857688987
98,MidAdult,V_fr_rel,Car,7233,8109,0.8919718830928598
99,MidAdult,V_fr_rel,PTrans,110,8109,0.013565174497471945
100,MidAdult,V_fr_rel,Walk,705,8109,0.08694043655197928
101,MidAdult,Work,Bicy,288,35526,0.008106738726566459
102,MidAdult,Work,Car,32303,35526,0.9092777120981816
103,MidAdult,Work,PTrans,880,35526,0.02477059055339751
104,MidAdult,Work,Walk,2055,35526,0.05784495862185442
105,Seniors,D_shop,Bicy,138,40798,0.0033825187509191625
106,Seniors,D_shop,Car,38234,40798,0.9371537820481396
107,Seniors,D_shop,PTrans,427,40798,0.01046619932349625
108,Seniors,D_shop,Walk,1999,40798,0.04899749987744497
109,Seniors,Home,Bicy,679,82841,0.008196424475803044
110,Seniors,Home,Car,70196,82841,0.8473581921995147
111,Seniors,Home,PTrans,1128,82841,0.013616445962747914
112,Seniors,Home,Walk,10838,82841,0.1308289373619343
113,Seniors,Meals,Bicy,80,24720,0.003236245954692557
114,Seniors,Meals,Car,22965,24720,0.929004854368932
115,Seniors,Meals,PTrans,171,24720,0.00691747572815534
116,Seniors,Meals,Walk,1504,24720,0.060841423948220064
117,Seniors,Others,Bicy,29,4901,0.005917159763313609
118,Seniors,Others,Car,4549,4901,0.928177922872883
119,Seniors,Others,PTrans,56,4901,0.011426239542950418
120,Seniors,Others,Walk,267,4901,0.05447867782085289
121,Seniors,Rec_lei,Bicy,325,19539,0.0166333998669328
122,Seniors,Rec_lei,Car,14736,19539,0.7541839398126823
123,Seniors,Rec_lei,PTrans,265,19539,0.013562618353037514
124,Seniors,Rec_lei,Walk,4213,19539,0.21562004196734735
125,Seniors,S_d_r,Bicy,16,16124,0.0009923096005953857
126,Seniors,S_d_r,Car,15455,16124,0.9585090548251054
127,Seniors,S_d_r,PTrans,148,16124,0.009178863805507318
128,Seniors,S_d_r,Walk,505,16124,0.03131977176879186
129,Seniors,Serv_trip,Bicy,105,26815,0.003915718814096587
130,Seniors,Serv_trip,Car,24971,26815,0.9312325191124371
131,Seniors,Serv_trip,PTrans,421,26815,0.015700167816520606
132,Seniors,Serv_trip,Walk,1318,26815,0.04915159425694574
133,Seniors,V_fr_rel,Bicy,45,12861,0.0034989503149055285
134,Seniors,V_fr_rel,Car,11661,12861,0.9066946582691859
135,Seniors,V_fr_rel,PTrans,101,12861,0.007853199595676853
136,Seniors,V_fr_rel,Walk,1054,12861,0.08195319182023171
137,Seniors,Work,Bicy,85,15887,0.0053502863976836405
138,Seniors,Work,Car,14451,15887,0.909611632152074
139,Seniors,Work,PTrans,355,15887,0.02234531377856109
140,Seniors,Work,Walk,996,15887,0.06269276767168125
141,Teen,D_shop,Bicy,19,3727,0.005097933995170378
142,Teen,D_shop,Car,3425,3727,0.9189696807083445
143,Teen,D_shop,PTrans,25,3727,0.006707807888382077
144,Teen,D_shop,Walk,258,3727,0.06922457740810303
145,Teen,Home,Bicy,529,20931,0.025273517748793654
146,Teen,Home,Car,17471,20931,0.8346949500740528
147,Teen,Home,PTrans,320,20931,0.015288328316850605
148,Teen,Home,Walk,2611,20931,0.1247432038603029
149,Teen,Meals,Bicy,35,3857,0.009074410163339383
150,Teen,Meals,Car,3451,3857,0.8947368421052632
151,Teen,Meals,PTrans,29,3857,0.007518796992481203
152,Teen,Meals,Walk,342,3857,0.08866995073891626
153,Teen,Others,Bicy,6,687,0.008733624454148471
154,Teen,Others,Car,629,687,0.9155749636098981
155,Teen,Others,PTrans,11,687,0.01601164483260553
156,Teen,Others,Walk,41,687,0.05967976710334789
157,Teen,Rec_lei,Bicy,176,5249,0.03353019622785292
158,Teen,Rec_lei,Car,4266,5249,0.8127262335682988
159,Teen,Rec_lei,PTrans,83,5249,0.015812535721089732
160,Teen,Rec_lei,Walk,724,5249,0.13793103448275862
161,Teen,S_d_r,Bicy,179,13892,0.012885113734523466
162,Teen,S_d_r,Car,12435,13892,0.8951194932335157
163,Teen,S_d_r,PTrans,246,13892,0.017708033400518283
164,Teen,S_d_r,Walk,1032,13892,0.07428735963144256
165,Teen,Serv_trip,Bicy,16,1845,0.008672086720867209
166,Teen,Serv_trip,Car,1686,1845,0.9138211382113821
167,Teen,Serv_trip,PTrans,22,1845,0.011924119241192412
168,Teen,Serv_trip,Walk,121,1845,0.06558265582655827
169,Teen,V_fr_rel,Bicy,135,2856,0.04726890756302521
170,Teen,V_fr_rel,Car,2235,2856,0.782563025210084
171,Teen,V_fr_rel,PTrans,22,2856,0.007703081232492998
172,Teen,V_fr_rel,Walk,464,2856,0.16246498599439776
173,Teen,Work,Bicy,29,1856,0.015625
174,Teen,Work,Car,1674,1856,0.9019396551724138
175,Teen,Work,PTrans,34,1856,0.018318965517241378
176,Teen,Work,Walk,119,1856,0.06411637931034483
